"S.
 No",Application No.,Year,Geographical Indications,"Goods
 (As per Sec 2 (f) of GI Act 1999 )",State
1,1 & 2,2004-2005,Darjeeling Tea (word & logo),Agricultural,West Bengal
2,3,2004-2005,Aranmula Kannadi,Handicraft,Kerala
3,4,2004-2005,Pochampalli Ikat,Handicraft,Telangana
4,5,2005-2006,Salem Fabric,Handicraft,Tamil Nadu
5,7,2005-2006,Chanderi Sarees,Handicraft,Madhya Pradesh
6,8,2005-2006,Solapur Chaddar,Handicraft,Maharashtra
7,9,2005-2006,Solapur Terry Towel,Handicraft,Maharashtra
8,10,2005-2006,Kotpad Handloom fabric,Handicraft,Odisha
9,11,2005-2006,Mysore Silk,Handicraft,Karnataka
10,12,2005-2006,Kota Doria,Handicraft,Rajasthan
11,13 & 18,2005-2006,Mysore Agarbathi,Manufactured,Karnataka
12,15,2005-2006,Kancheepuram Silk,Handicraft,Tamil Nadu
13,16,2005-2006,Bhavani Jamakkalam,Handicraft,Tamil Nadu
14,19,2005-2006,Kullu Shawl,Handicraft,Himachal Pradesh
15,20,2005-2006,Bidriware,Handicraft,Karnataka
16,21,2005-2006,Madurai Sungudi,Handicraft,Tamil Nadu
17,22,2005-2006,Orissa Ikat,Handicraft,Odisha
18,23,2005-2006,Channapatna Toys & Dolls,Handicraft,Karnataka
19,24,2005-2006,Mysore Rosewood Inlay,Handicraft,Karnataka
20,25,2005-2006,Kangra Tea,Agricultural,Himachal Pradesh
21,26,2005-2006,Coimbatore Wet Grinder,Manufactured,Tamil Nadu
22,28,2005-2006,Srikalahasthi Kalamkari,Handicraft,Andhra Pradesh
23,29,2005-2006,Mysore Sandalwood Oil,Manufactured,Karnataka
24,30,2005-2006,Mysore Sandal soap,Manufactured,Karnataka
25,31,2005-2006,Kasuti Embroidery,Handicraft,Karnataka
26,32,2005-2006,Mysore Traditional Paintings,Handicraft,Karnataka
27,33,2005-2006,Coorg Orange,Agricultural,Karnataka
28,34,2006-2007,Mysore Betel leaf,Agricultural,Karnataka
29,35,2006-2007,Nanjanagud Banana,Agricultural,Karnataka
30,37,2006-2007,Madhubani Paintings,Handicraft,Bihar
31,44,2007-2008,Kondapalli Bommallu,Handicraft,Andhra Pradesh
32,47,2007-2008,Thanjavur Paintings,Handicraft,Tamil Nadu
33,53,2007-2008,Silver Filigree of Karimnagar,Handicraft,Telangana
34,54,2007-2008,Alleppey Coir,Handicraft,Kerala
35,55,2007-2008,Muga Silk of Assam,Handicraft,Assam
